# timestamp,component_id,job_id,app_id,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,HardwareCorrupted,AnonHugePages,ShmemHugePages,ShmemPmdMapped,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,time_job_comp,time_comp_job,job_comp_time,job_time_comp,comp_time_job,comp_job_time
1662655331.001070,4400238,10714288,0,133550208,124274432,126304512,0,754624,0,152640,2612096,131712,667328,20928,1944768,0,0,0,0,9088,0,110208,109184,696128,3363456,1047808,2315648,99264,4736,0,0,0,66775104,1751872,133009637312,0,0,0,0,0,0,0,0,0,0,524288,09:00:2E:04:00:00:63:1B:1A:63:05:00:B0:7C:A3:00:00:00:00:00:05:00:6E:24:43:00:00:00:00:00,09:00:2E:04:00:00:63:1B:1A:63:05:00:6E:24:43:00:00:00:00:00:05:00:B0:7C:A3:00:00:00:00:00,05:00:B0:7C:A3:00:00:00:00:00:05:00:6E:24:43:00:00:00:00:00:09:00:2E:04:00:00:63:1B:1A:63,05:00:B0:7C:A3:00:00:00:00:00:09:00:2E:04:00:00:63:1B:1A:63:05:00:6E:24:43:00:00:00:00:00,05:00:6E:24:43:00:00:00:00:00:09:00:2E:04:00:00:63:1B:1A:63:05:00:B0:7C:A3:00:00:00:00:00,05:00:6E:24:43:00:00:00:00:00:05:00:B0:7C:A3:00:00:00:00:00:09:00:2E:04:00:00:63:1B:1A:63
1662655331.001108,4400027,10714288,0,133550208,123878016,127411776,0,483648,0,160064,4136192,139456,398784,20608,3737408,0,0,0,0,2304,0,118848,93056,425728,2776960,759168,2017792,97216,5824,0,0,0,66775104,1447104,133009637312,0,0,0,0,0,0,0,0,0,0,524288,09:00:54:04:00:00:63:1B:1A:63:05:00:B0:7C:A3:00:00:00:00:00:05:00:9B:23:43:00:00:00:00:00,09:00:54:04:00:00:63:1B:1A:63:05:00:9B:23:43:00:00:00:00:00:05:00:B0:7C:A3:00:00:00:00:00,05:00:B0:7C:A3:00:00:00:00:00:05:00:9B:23:43:00:00:00:00:00:09:00:54:04:00:00:63:1B:1A:63,05:00:B0:7C:A3:00:00:00:00:00:09:00:54:04:00:00:63:1B:1A:63:05:00:9B:23:43:00:00:00:00:00,05:00:9B:23:43:00:00:00:00:00:09:00:54:04:00:00:63:1B:1A:63:05:00:B0:7C:A3:00:00:00:00:00,05:00:9B:23:43:00:00:00:00:00:05:00:B0:7C:A3:00:00:00:00:00:09:00:54:04:00:00:63:1B:1A:63
1662655331.001214,4400049,10714288,0,133550208,125841664,127372480,0,442240,0,151680,2276352,127232,354176,24448,1922176,0,0,0,0,0,1280,108352,90304,380672,2660224,567616,2092608,97728,5056,0,0,0,66775104,1425536,133009637312,0,0,0,0,0,0,0,0,0,0,524288,09:00:BE:04:00:00:63:1B:1A:63:05:00:B0:7C:A3:00:00:00:00:00:05:00:B1:23:43:00:00:00:00:00,09:00:BE:04:00:00:63:1B:1A:63:05:00:B1:23:43:00:00:00:00:00:05:00:B0:7C:A3:00:00:00:00:00,05:00:B0:7C:A3:00:00:00:00:00:05:00:B1:23:43:00:00:00:00:00:09:00:BE:04:00:00:63:1B:1A:63,05:00:B0:7C:A3:00:00:00:00:00:09:00:BE:04:00:00:63:1B:1A:63:05:00:B1:23:43:00:00:00:00:00,05:00:B1:23:43:00:00:00:00:00:09:00:BE:04:00:00:63:1B:1A:63:05:00:B0:7C:A3:00:00:00:00:00,05:00:B1:23:43:00:00:00:00:00:05:00:B0:7C:A3:00:00:00:00:00:09:00:BE:04:00:00:63:1B:1A:63
1662655331.001292,4400047,10714288,0,133550208,125864320,127301568,0,418752,0,150208,2204544,129472,334272,20736,1870272,0,0,0,0,8192,0,109056,89664,360640,2643072,529664,2113408,97984,5248,0,0,0,66775104,1413696,133009637312,0,0,0,0,0,0,0,0,0,0,524288,09:00:0C:05:00:00:63:1B:1A:63:05:00:B0:7C:A3:00:00:00:00:00:05:00:AF:23:43:00:00:00:00:00,09:00:0C:05:00:00:63:1B:1A:63:05:00:AF:23:43:00:00:00:00:00:05:00:B0:7C:A3:00:00:00:00:00,05:00:B0:7C:A3:00:00:00:00:00:05:00:AF:23:43:00:00:00:00:00:09:00:0C:05:00:00:63:1B:1A:63,05:00:B0:7C:A3:00:00:00:00:00:09:00:0C:05:00:00:63:1B:1A:63:05:00:AF:23:43:00:00:00:00:00,05:00:AF:23:43:00:00:00:00:00:09:00:0C:05:00:00:63:1B:1A:63:05:00:B0:7C:A3:00:00:00:00:00,05:00:AF:23:43:00:00:00:00:00:05:00:B0:7C:A3:00:00:00:00:00:09:00:0C:05:00:00:63:1B:1A:63
1662655331.001309,4400242,10714288,0,133550208,126124736,127482176,0,409472,0,155136,2106944,134272,324608,20864,1782336,0,0,0,0,9024,0,114816,89216,351232,2550592,537664,2012928,97088,5120,0,0,0,66775104,1349120,133009637312,0,0,0,0,0,0,0,0,0,0,524288,09:00:1D:05:00:00:63:1B:1A:63:05:00:B0:7C:A3:00:00:00:00:00:05:00:72:24:43:00:00:00:00:00,09:00:1D:05:00:00:63:1B:1A:63:05:00:72:24:43:00:00:00:00:00:05:00:B0:7C:A3:00:00:00:00:00,05:00:B0:7C:A3:00:00:00:00:00:05:00:72:24:43:00:00:00:00:00:09:00:1D:05:00:00:63:1B:1A:63,05:00:B0:7C:A3:00:00:00:00:00:09:00:1D:05:00:00:63:1B:1A:63:05:00:72:24:43:00:00:00:00:00,05:00:72:24:43:00:00:00:00:00:09:00:1D:05:00:00:63:1B:1A:63:05:00:B0:7C:A3:00:00:00:00:00,05:00:72:24:43:00:00:00:00:00:05:00:B0:7C:A3:00:00:00:00:00:09:00:1D:05:00:00:63:1B:1A:63
1662655331.001382,4400241,10714288,0,133550208,125875072,127335744,0,410624,0,154944,2200320,134208,326336,20736,1873984,0,0,0,0,0,0,115136,89280,352384,2648128,549376,2098752,97600,5312,0,0,0,66775104,1369600,133009637312,0,0,0,0,0,0,0,0,0,0,524288,09:00:66:05:00:00:63:1B:1A:63:05:00:B0:7C:A3:00:00:00:00:00:05:00:71:24:43:00:00:00:00:00,09:00:66:05:00:00:63:1B:1A:63:05:00:71:24:43:00:00:00:00:00:05:00:B0:7C:A3:00:00:00:00:00,05:00:B0:7C:A3:00:00:00:00:00:05:00:71:24:43:00:00:00:00:00:09:00:66:05:00:00:63:1B:1A:63,05:00:B0:7C:A3:00:00:00:00:00:09:00:66:05:00:00:63:1B:1A:63:05:00:71:24:43:00:00:00:00:00,05:00:71:24:43:00:00:00:00:00:09:00:66:05:00:00:63:1B:1A:63:05:00:B0:7C:A3:00:00:00:00:00,05:00:71:24:43:00:00:00:00:00:05:00:B0:7C:A3:00:00:00:00:00:09:00:66:05:00:00:63:1B:1A:63
1662655331.001440,4400243,10714288,0,133550144,126222656,127466240,0,439360,0,147648,2047872,126784,354752,20864,1693120,0,0,0,0,0,0,108352,89344,380864,2549248,513024,2036224,96768,4800,0,0,0,66775040,1326528,133009637312,0,0,0,0,0,0,0,0,0,0,524288,09:00:A0:05:00:00:63:1B:1A:63:05:00:B0:7C:A3:00:00:00:00:00:05:00:73:24:43:00:00:00:00:00,09:00:A0:05:00:00:63:1B:1A:63:05:00:73:24:43:00:00:00:00:00:05:00:B0:7C:A3:00:00:00:00:00,05:00:B0:7C:A3:00:00:00:00:00:05:00:73:24:43:00:00:00:00:00:09:00:A0:05:00:00:63:1B:1A:63,05:00:B0:7C:A3:00:00:00:00:00:09:00:A0:05:00:00:63:1B:1A:63:05:00:73:24:43:00:00:00:00:00,05:00:73:24:43:00:00:00:00:00:09:00:A0:05:00:00:63:1B:1A:63:05:00:B0:7C:A3:00:00:00:00:00,05:00:73:24:43:00:00:00:00:00:05:00:B0:7C:A3:00:00:00:00:00:09:00:A0:05:00:00:63:1B:1A:63
1662655331.001503,4400048,10714288,0,133550208,125809088,127413504,0,406464,0,147840,2312896,127104,322112,20736,1990784,0,0,0,0,8192,0,108928,89792,348096,2668352,576320,2092032,97088,4800,0,0,0,66775104,1277376,133009637312,0,0,0,0,0,0,0,0,0,0,524288,09:00:DF:05:00:00:63:1B:1A:63:05:00:B0:7C:A3:00:00:00:00:00:05:00:B0:23:43:00:00:00:00:00,09:00:DF:05:00:00:63:1B:1A:63:05:00:B0:23:43:00:00:00:00:00:05:00:B0:7C:A3:00:00:00:00:00,05:00:B0:7C:A3:00:00:00:00:00:05:00:B0:23:43:00:00:00:00:00:09:00:DF:05:00:00:63:1B:1A:63,05:00:B0:7C:A3:00:00:00:00:00:09:00:DF:05:00:00:63:1B:1A:63:05:00:B0:23:43:00:00:00:00:00,05:00:B0:23:43:00:00:00:00:00:09:00:DF:05:00:00:63:1B:1A:63:05:00:B0:7C:A3:00:00:00:00:00,05:00:B0:23:43:00:00:00:00:00:05:00:B0:7C:A3:00:00:00:00:00:09:00:DF:05:00:00:63:1B:1A:63
1662655331.001597,4400052,10714288,0,133550208,124161152,126236928,0,744512,0,170240,2717888,149312,658624,20928,2059264,0,0,0,0,9088,0,127552,106048,686400,3260096,979008,2281088,98496,5120,0,0,0,66775104,1706432,133009637312,0,0,0,0,0,0,0,0,0,0,524288,09:00:3D:06:00:00:63:1B:1A:63:05:00:B0:7C:A3:00:00:00:00:00:05:00:B4:23:43:00:00:00:00:00,09:00:3D:06:00:00:63:1B:1A:63:05:00:B4:23:43:00:00:00:00:00:05:00:B0:7C:A3:00:00:00:00:00,05:00:B0:7C:A3:00:00:00:00:00:05:00:B4:23:43:00:00:00:00:00:09:00:3D:06:00:00:63:1B:1A:63,05:00:B0:7C:A3:00:00:00:00:00:09:00:3D:06:00:00:63:1B:1A:63:05:00:B4:23:43:00:00:00:00:00,05:00:B4:23:43:00:00:00:00:00:09:00:3D:06:00:00:63:1B:1A:63:05:00:B0:7C:A3:00:00:00:00:00,05:00:B4:23:43:00:00:00:00:00:05:00:B0:7C:A3:00:00:00:00:00:09:00:3D:06:00:00:63:1B:1A:63
1662655331.001645,4400026,10714288,0,133550208,127580800,127499456,0,462656,0,150720,431040,129920,377792,20800,53248,0,0,0,0,9152,0,110272,90560,404416,2665344,666176,1999168,98048,4672,0,0,0,66775104,1407232,133009637312,0,0,0,0,0,0,0,0,0,0,524288,09:00:6D:06:00:00:63:1B:1A:63:05:00:B0:7C:A3:00:00:00:00:00:05:00:9A:23:43:00:00:00:00:00,09:00:6D:06:00:00:63:1B:1A:63:05:00:9A:23:43:00:00:00:00:00:05:00:B0:7C:A3:00:00:00:00:00,05:00:B0:7C:A3:00:00:00:00:00:05:00:9A:23:43:00:00:00:00:00:09:00:6D:06:00:00:63:1B:1A:63,05:00:B0:7C:A3:00:00:00:00:00:09:00:6D:06:00:00:63:1B:1A:63:05:00:9A:23:43:00:00:00:00:00,05:00:9A:23:43:00:00:00:00:00:09:00:6D:06:00:00:63:1B:1A:63:05:00:B0:7C:A3:00:00:00:00:00,05:00:9A:23:43:00:00:00:00:00:05:00:B0:7C:A3:00:00:00:00:00:09:00:6D:06:00:00:63:1B:1A:63
