# timestamp,component_id,job_id,app_id,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,HardwareCorrupted,AnonHugePages,ShmemHugePages,ShmemPmdMapped,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,time_job_comp,time_comp_job,job_comp_time,job_time_comp,comp_time_job,comp_job_time
1662655464.001040,4400240,10714291,0,133550208,127771264,127560960,0,441536,0,152960,400192,132352,357120,20608,43072,0,0,0,0,0,0,112384,89344,383296,2605248,542400,2062848,96448,4928,0,0,0,66775104,1347968,133009637312,0,0,0,0,0,0,0,0,0,0,524288,09:00:10:04:00:00:E8:1B:1A:63:05:00:B3:7C:A3:00:00:00:00:00:05:00:70:24:43:00:00:00:00:00,09:00:10:04:00:00:E8:1B:1A:63:05:00:70:24:43:00:00:00:00:00:05:00:B3:7C:A3:00:00:00:00:00,05:00:B3:7C:A3:00:00:00:00:00:05:00:70:24:43:00:00:00:00:00:09:00:10:04:00:00:E8:1B:1A:63,05:00:B3:7C:A3:00:00:00:00:00:09:00:10:04:00:00:E8:1B:1A:63:05:00:70:24:43:00:00:00:00:00,05:00:70:24:43:00:00:00:00:00:09:00:10:04:00:00:E8:1B:1A:63:05:00:B3:7C:A3:00:00:00:00:00,05:00:70:24:43:00:00:00:00:00:05:00:B3:7C:A3:00:00:00:00:00:09:00:10:04:00:00:E8:1B:1A:63
1662655464.001151,4400244,10714291,0,133550208,127748608,127503552,0,440832,0,153920,399168,133504,357888,20416,41280,0,0,0,0,7296,0,112832,89152,384448,2576768,508672,2068096,97344,5312,0,0,0,66775104,1238528,133009637312,0,0,0,0,0,0,0,0,0,0,524288,09:00:7F:04:00:00:E8:1B:1A:63:05:00:B3:7C:A3:00:00:00:00:00:05:00:74:24:43:00:00:00:00:00,09:00:7F:04:00:00:E8:1B:1A:63:05:00:74:24:43:00:00:00:00:00:05:00:B3:7C:A3:00:00:00:00:00,05:00:B3:7C:A3:00:00:00:00:00:05:00:74:24:43:00:00:00:00:00:09:00:7F:04:00:00:E8:1B:1A:63,05:00:B3:7C:A3:00:00:00:00:00:09:00:7F:04:00:00:E8:1B:1A:63:05:00:74:24:43:00:00:00:00:00,05:00:74:24:43:00:00:00:00:00:09:00:7F:04:00:00:E8:1B:1A:63:05:00:B3:7C:A3:00:00:00:00:00,05:00:74:24:43:00:00:00:00:00:05:00:B3:7C:A3:00:00:00:00:00:09:00:7F:04:00:00:E8:1B:1A:63
1662655464.001259,4400239,10714291,0,133550208,127786944,127568832,0,449408,0,152576,410304,131840,365248,20736,45056,0,0,0,0,0,0,113792,89472,391104,2579840,533568,2046272,96512,4928,0,0,0,66775104,1396992,133009637312,0,0,0,0,0,0,0,0,0,0,524288,09:00:EB:04:00:00:E8:1B:1A:63:05:00:B3:7C:A3:00:00:00:00:00:05:00:6F:24:43:00:00:00:00:00,09:00:EB:04:00:00:E8:1B:1A:63:05:00:6F:24:43:00:00:00:00:00:05:00:B3:7C:A3:00:00:00:00:00,05:00:B3:7C:A3:00:00:00:00:00:05:00:6F:24:43:00:00:00:00:00:09:00:EB:04:00:00:E8:1B:1A:63,05:00:B3:7C:A3:00:00:00:00:00:09:00:EB:04:00:00:E8:1B:1A:63:05:00:6F:24:43:00:00:00:00:00,05:00:6F:24:43:00:00:00:00:00:09:00:EB:04:00:00:E8:1B:1A:63:05:00:B3:7C:A3:00:00:00:00:00,05:00:6F:24:43:00:00:00:00:00:05:00:B3:7C:A3:00:00:00:00:00:09:00:EB:04:00:00:E8:1B:1A:63
1662655464.001280,4400027,10714291,0,133550208,127568768,127575616,0,485504,0,155776,443904,136064,402816,19712,41088,0,0,0,0,8192,0,115200,91328,429824,2784128,761024,2023104,97728,5824,0,0,0,66775104,1562368,133009637312,0,0,0,0,0,0,0,0,0,0,524288,09:00:00:05:00:00:E8:1B:1A:63:05:00:B3:7C:A3:00:00:00:00:00:05:00:9B:23:43:00:00:00:00:00,09:00:00:05:00:00:E8:1B:1A:63:05:00:9B:23:43:00:00:00:00:00:05:00:B3:7C:A3:00:00:00:00:00,05:00:B3:7C:A3:00:00:00:00:00:05:00:9B:23:43:00:00:00:00:00:09:00:00:05:00:00:E8:1B:1A:63,05:00:B3:7C:A3:00:00:00:00:00:09:00:00:05:00:00:E8:1B:1A:63:05:00:9B:23:43:00:00:00:00:00,05:00:9B:23:43:00:00:00:00:00:09:00:00:05:00:00:E8:1B:1A:63:05:00:B3:7C:A3:00:00:00:00:00,05:00:9B:23:43:00:00:00:00:00:05:00:B3:7C:A3:00:00:00:00:00:09:00:00:05:00:00:E8:1B:1A:63
1662655464.001406,4400245,10714291,0,133550208,127889920,127668160,0,411776,0,145600,370752,124160,326912,21440,43840,0,0,0,0,7616,0,104704,89024,352896,2595264,530176,2065088,97536,4608,0,0,0,66775104,1295744,133009637312,0,0,0,0,0,0,0,0,0,0,524288,09:00:7E:05:00:00:E8:1B:1A:63:05:00:B3:7C:A3:00:00:00:00:00:05:00:75:24:43:00:00:00:00:00,09:00:7E:05:00:00:E8:1B:1A:63:05:00:75:24:43:00:00:00:00:00:05:00:B3:7C:A3:00:00:00:00:00,05:00:B3:7C:A3:00:00:00:00:00:05:00:75:24:43:00:00:00:00:00:09:00:7E:05:00:00:E8:1B:1A:63,05:00:B3:7C:A3:00:00:00:00:00:09:00:7E:05:00:00:E8:1B:1A:63:05:00:75:24:43:00:00:00:00:00,05:00:75:24:43:00:00:00:00:00:09:00:7E:05:00:00:E8:1B:1A:63:05:00:B3:7C:A3:00:00:00:00:00,05:00:75:24:43:00:00:00:00:00:05:00:B3:7C:A3:00:00:00:00:00:09:00:7E:05:00:00:E8:1B:1A:63
1662655464.001467,4400052,10714291,0,133550208,126302976,126524416,0,747264,0,168320,704704,147712,662720,20608,41984,0,0,0,0,0,0,126016,105920,690496,3254464,974720,2279744,98816,5184,0,0,0,66775104,1627712,133009637312,0,0,0,0,0,0,0,0,0,0,524288,09:00:BB:05:00:00:E8:1B:1A:63:05:00:B3:7C:A3:00:00:00:00:00:05:00:B4:23:43:00:00:00:00:00,09:00:BB:05:00:00:E8:1B:1A:63:05:00:B4:23:43:00:00:00:00:00:05:00:B3:7C:A3:00:00:00:00:00,05:00:B3:7C:A3:00:00:00:00:00:05:00:B4:23:43:00:00:00:00:00:09:00:BB:05:00:00:E8:1B:1A:63,05:00:B3:7C:A3:00:00:00:00:00:09:00:BB:05:00:00:E8:1B:1A:63:05:00:B4:23:43:00:00:00:00:00,05:00:B4:23:43:00:00:00:00:00:09:00:BB:05:00:00:E8:1B:1A:63:05:00:B3:7C:A3:00:00:00:00:00,05:00:B4:23:43:00:00:00:00:00:05:00:B3:7C:A3:00:00:00:00:00:09:00:BB:05:00:00:E8:1B:1A:63
1662655464.001524,4400051,10714291,0,133550208,127418496,127461760,0,549184,0,158976,505920,136704,461632,22272,44288,0,0,0,0,0,0,115968,97024,488576,2817920,794560,2023360,97920,4800,0,0,0,66775104,1444352,133009637312,0,0,0,0,0,0,0,0,0,0,524288,09:00:F4:05:00:00:E8:1B:1A:63:05:00:B3:7C:A3:00:00:00:00:00:05:00:B3:23:43:00:00:00:00:00,09:00:F4:05:00:00:E8:1B:1A:63:05:00:B3:23:43:00:00:00:00:00:05:00:B3:7C:A3:00:00:00:00:00,05:00:B3:7C:A3:00:00:00:00:00:05:00:B3:23:43:00:00:00:00:00:09:00:F4:05:00:00:E8:1B:1A:63,05:00:B3:7C:A3:00:00:00:00:00:09:00:F4:05:00:00:E8:1B:1A:63:05:00:B3:23:43:00:00:00:00:00,05:00:B3:23:43:00:00:00:00:00:09:00:F4:05:00:00:E8:1B:1A:63:05:00:B3:7C:A3:00:00:00:00:00,05:00:B3:23:43:00:00:00:00:00:05:00:B3:7C:A3:00:00:00:00:00:09:00:F4:05:00:00:E8:1B:1A:63
1662655464.001655,4400048,10714291,0,133550208,127743296,127575808,0,410432,0,145600,371072,125056,326208,20544,44864,0,0,0,0,0,0,106816,89728,352192,2678592,584384,2094208,97600,4608,0,0,0,66775104,1334848,133009637312,0,0,0,0,0,0,0,0,0,0,524288,09:00:77:06:00:00:E8:1B:1A:63:05:00:B3:7C:A3:00:00:00:00:00:05:00:B0:23:43:00:00:00:00:00,09:00:77:06:00:00:E8:1B:1A:63:05:00:B0:23:43:00:00:00:00:00:05:00:B3:7C:A3:00:00:00:00:00,05:00:B3:7C:A3:00:00:00:00:00:05:00:B0:23:43:00:00:00:00:00:09:00:77:06:00:00:E8:1B:1A:63,05:00:B3:7C:A3:00:00:00:00:00:09:00:77:06:00:00:E8:1B:1A:63:05:00:B0:23:43:00:00:00:00:00,05:00:B0:23:43:00:00:00:00:00:09:00:77:06:00:00:E8:1B:1A:63:05:00:B3:7C:A3:00:00:00:00:00,05:00:B0:23:43:00:00:00:00:00:05:00:B3:7C:A3:00:00:00:00:00:09:00:77:06:00:00:E8:1B:1A:63
1662655464.001669,4400050,10714291,0,133550144,127586816,127547648,0,498880,0,145280,457280,125056,414784,20224,42496,0,0,0,0,0,0,104640,115072,442368,2666816,714048,1952768,98688,5248,0,0,0,66775040,1390400,133009637312,0,0,0,0,0,0,0,0,0,0,524288,09:00:85:06:00:00:E8:1B:1A:63:05:00:B3:7C:A3:00:00:00:00:00:05:00:B2:23:43:00:00:00:00:00,09:00:85:06:00:00:E8:1B:1A:63:05:00:B2:23:43:00:00:00:00:00:05:00:B3:7C:A3:00:00:00:00:00,05:00:B3:7C:A3:00:00:00:00:00:05:00:B2:23:43:00:00:00:00:00:09:00:85:06:00:00:E8:1B:1A:63,05:00:B3:7C:A3:00:00:00:00:00:09:00:85:06:00:00:E8:1B:1A:63:05:00:B2:23:43:00:00:00:00:00,05:00:B2:23:43:00:00:00:00:00:09:00:85:06:00:00:E8:1B:1A:63:05:00:B3:7C:A3:00:00:00:00:00,05:00:B2:23:43:00:00:00:00:00:05:00:B3:7C:A3:00:00:00:00:00:09:00:85:06:00:00:E8:1B:1A:63
1662655464.001680,4400049,10714291,0,133550208,127729728,127539328,0,444096,0,143552,403264,122176,358976,21376,44288,0,0,0,0,4928,0,103616,89792,384832,2649408,561344,2088064,97984,4480,0,0,0,66775104,1467968,133009637312,0,0,0,0,0,0,0,0,0,0,524288,09:00:90:06:00:00:E8:1B:1A:63:05:00:B3:7C:A3:00:00:00:00:00:05:00:B1:23:43:00:00:00:00:00,09:00:90:06:00:00:E8:1B:1A:63:05:00:B1:23:43:00:00:00:00:00:05:00:B3:7C:A3:00:00:00:00:00,05:00:B3:7C:A3:00:00:00:00:00:05:00:B1:23:43:00:00:00:00:00:09:00:90:06:00:00:E8:1B:1A:63,05:00:B3:7C:A3:00:00:00:00:00:09:00:90:06:00:00:E8:1B:1A:63:05:00:B1:23:43:00:00:00:00:00,05:00:B1:23:43:00:00:00:00:00:09:00:90:06:00:00:E8:1B:1A:63:05:00:B3:7C:A3:00:00:00:00:00,05:00:B1:23:43:00:00:00:00:00:05:00:B3:7C:A3:00:00:00:00:00:09:00:90:06:00:00:E8:1B:1A:63
