# darshan log version: 3.21
# compression method: ZLIB
# exe: /projects/ovis/omar/stria_run/HACC-IO/hacc_io 5000000 /projects/ovis/tmp/darshan
# uid: 99066
# jobid: 10764595
# start_time: 1663011756
# start_time_asci: Mon Sep 12 13:42:36 2022
# end_time: 1663011970
# end_time_asci: Mon Sep 12 13:46:10 2022
# nprocs: 512
# run time: 215
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 306 bytes (compressed)
# record table: 34362 bytes (compressed)
# POSIX module: 91756 bytes (compressed), ver=4
# STDIO module: 58 bytes (compressed), ver=2
# DXT_POSIX module: 160896 bytes (compressed), ver=1
# HEATMAP module: 61802 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/home/spwalto	nfs
# mount entry:	/root_ro_nfs	nfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/projects	nfs
# mount entry:	/lustre	lustre
# mount entry:	/beeond	xfs
# mount entry:	/hpcart	nfs
# mount entry:	/home	nfs
# mount entry:	/dev	devtmpfs
# mount entry:	/opt	nfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5857810700580566174, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000512.data
# DXT, rank: 0, hostname: st45
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824        20000000     14.8034     14.8096
 X_POSIX       0  write        1        45165824        20000000     14.8097     14.8158
 X_POSIX       0  write        2        65165824        20000000     14.8159     14.8220
 X_POSIX       0  write        3        85165824        20000000     14.8221     14.8282
 X_POSIX       0  write        4       105165824        20000000     14.8283     14.8344
 X_POSIX       0  write        5       125165824        20000000     14.8344     14.8405
 X_POSIX       0  write        6       145165824        20000000     14.8406     14.8467
 X_POSIX       0  write        7       165165824        40000000     14.8467     14.8603
 X_POSIX       0  write        8       205165824        10000000     14.8604     14.8637
 X_POSIX       0  write        9               0        25165824     14.8638     14.8720
 X_POSIX       0   read        0               0        25165824    183.8413    184.1305
 X_POSIX       0   read        1        25165824        20000000    184.1317    187.7792
 X_POSIX       0   read        2        45165824        20000000    187.7793    189.3695
 X_POSIX       0   read        3        65165824        20000000    189.3696    190.8804
 X_POSIX       0   read        4        85165824        20000000    190.8805    192.1240
 X_POSIX       0   read        5       105165824        20000000    192.1241    193.7572
 X_POSIX       0   read        6       125165824        20000000    193.7573    195.8023
 X_POSIX       0   read        7       145165824        20000000    195.8024    197.4006
 X_POSIX       0   read        8       165165824        40000000    197.4007    204.1725
 X_POSIX       0   read        9       205165824        10000000    204.1726    204.4072

# DXT, file_id: 9859995185289467732, file_name: /projects/ovis/tmp/darshan-Part00000001-of-00000512.data
# DXT, rank: 1, hostname: st45
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0        25165824        20000000     21.7821     21.7864
 X_POSIX       1  write        1        45165824        20000000     21.7865     21.7906
 X_POSIX       1  write        2        65165824        20000000     21.7907     21.7947
 X_POSIX       1  write        3        85165824        20000000     21.7948     21.7990
 X_POSIX       1  write        4       105165824        20000000     21.7990     21.8031
 X_POSIX       1  write        5       125165824        20000000     21.8031     21.8072
 X_POSIX       1  write        6       145165824        20000000     21.8073     21.8115
 X_POSIX       1  write        7       165165824        40000000     21.8115     21.8197
 X_POSIX       1  write        8       205165824        10000000     21.8197     21.8218
 X_POSIX       1  write        9               0        25165824     21.8219     21.8270
 X_POSIX       1   read        0               0        25165824     70.8533     70.8597
 X_POSIX       1   read        1        25165824        20000000     73.0228     73.0280
 X_POSIX       1   read        2        45165824        20000000     73.0281     73.0333
 X_POSIX       1   read        3        65165824        20000000     73.0333     73.0384
 X_POSIX       1   read        4        85165824        20000000     73.0385     73.0436
 X_POSIX       1   read        5       105165824        20000000     73.0436     73.0485
 X_POSIX       1   read        6       125165824        20000000     73.0486     73.0537
 X_POSIX       1   read        7       145165824        20000000     73.0538     73.0593
 X_POSIX       1   read        8       165165824        40000000     73.0594     73.0696
 X_POSIX       1   read        9       205165824        10000000     73.0697     73.0722

# DXT, file_id: 11610747898245933209, file_name: /projects/ovis/tmp/darshan-Part00000002-of-00000512.data
# DXT, rank: 2, hostname: st45
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       2  write        0        25165824        20000000     18.8780     18.8842
 X_POSIX       2  write        1        45165824        20000000     18.8843     18.8904
 X_POSIX       2  write        2        65165824        20000000     18.8904     18.8966
 X_POSIX       2  write        3        85165824        20000000     18.8966     18.9027
 X_POSIX       2  write        4       105165824        20000000     18.9028     18.9088
 X_POSIX       2  write        5       125165824        20000000     18.9089     18.9150
 X_POSIX       2  write        6       145165824        20000000     18.9150     18.9211
 X_POSIX       2  write        7       165165824        40000000     18.9212     18.9346
 X_POSIX       2  write        8       205165824        10000000     18.9347     18.9380
 X_POSIX       2  write        9               0        25165824     18.9381     18.9465
 X_POSIX       2   read        0               0        25165824     97.2201     97.2265
 X_POSIX       2   read        1        25165824        20000000     97.3570     97.3642
 X_POSIX       2   read        2        45165824        20000000     97.3643     97.3715
 X_POSIX       2   read        3        65165824        20000000     97.3716     97.3789
 X_POSIX       2   read        4        85165824        20000000     97.3789     97.3863
 X_POSIX       2   read        5       105165824        20000000     97.3864     97.3936
 X_POSIX       2   read        6       125165824        20000000     97.3936     97.4008
 X_POSIX       2   read        7       145165824        20000000     97.4008     97.4080
 X_POSIX       2   read        8       165165824        40000000     97.4080     97.4180
 X_POSIX       2   read        9       205165824        10000000     97.4180     97.4205

