# darshan log version: 3.21
# compression method: ZLIB
# exe: /projects/ovis/omar/stria_run/HACC-IO/hacc_io 10000000 /projects/ovis/tmp/darshan
# uid: 99066
# jobid: 10764597
# start_time: 1663012408
# start_time_asci: Mon Sep 12 13:53:28 2022
# end_time: 1663013537
# end_time_asci: Mon Sep 12 14:12:17 2022
# nprocs: 512
# run time: 1130
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 309 bytes (compressed)
# record table: 34362 bytes (compressed)
# POSIX module: 93081 bytes (compressed), ver=4
# STDIO module: 60 bytes (compressed), ver=2
# DXT_POSIX module: 173162 bytes (compressed), ver=1
# HEATMAP module: 106331 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/home/spwalto	nfs
# mount entry:	/root_ro_nfs	nfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/projects	nfs
# mount entry:	/lustre	lustre
# mount entry:	/beeond	xfs
# mount entry:	/hpcart	nfs
# mount entry:	/home	nfs
# mount entry:	/dev	devtmpfs
# mount entry:	/opt	nfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5857810700580566174, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000512.data
# DXT, rank: 0, hostname: st45
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824        40000000     17.6232     18.0579
 X_POSIX       0  write        1        65165824        40000000     18.0580     18.6884
 X_POSIX       0  write        2       105165824        40000000     18.6885     19.2179
 X_POSIX       0  write        3       145165824        40000000     19.2179     19.7181
 X_POSIX       0  write        4       185165824        40000000     19.7182     20.2183
 X_POSIX       0  write        5       225165824        40000000     20.2184     20.7380
 X_POSIX       0  write        6       265165824        40000000     20.7381     21.2383
 X_POSIX       0  write        7       305165824        80000000     21.2383     22.6179
 X_POSIX       0  write        8       385165824        20000000     22.6180     23.1180
 X_POSIX       0  write        9               0        25165824     23.1181     23.7580
 X_POSIX       0   read        0               0        25165824    431.3557    431.6195
 X_POSIX       0   read        1        25165824        40000000    431.6203    558.5702
 X_POSIX       0   read        2        65165824        40000000    558.5703    646.7545
 X_POSIX       0   read        3       105165824        40000000    646.7546    717.8851
 X_POSIX       0   read        4       145165824        40000000    717.8852    806.7494
 X_POSIX       0   read        5       185165824        40000000    806.7495    863.0345
 X_POSIX       0   read        6       225165824        40000000    863.0346    914.1894
 X_POSIX       0   read        7       265165824        40000000    914.1895    930.8764
 X_POSIX       0   read        8       305165824        80000000    930.8765   1030.8570
 X_POSIX       0   read        9       385165824        20000000   1030.8571   1031.0707

# DXT, file_id: 9859995185289467732, file_name: /projects/ovis/tmp/darshan-Part00000001-of-00000512.data
# DXT, rank: 1, hostname: st45
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0        25165824        40000000     50.4382     59.7876
 X_POSIX       1  write        1        65165824        40000000     59.7877     71.8476
 X_POSIX       1  write        2       105165824        40000000     71.8477     89.0076
 X_POSIX       1  write        3       145165824        40000000     89.0076    105.2476
 X_POSIX       1  write        4       185165824        40000000    105.2476    126.4876
 X_POSIX       1  write        5       225165824        40000000    126.4876    144.8076
 X_POSIX       1  write        6       265165824        40000000    144.8077    165.8476
 X_POSIX       1  write        7       305165824        80000000    165.8477    199.4876
 X_POSIX       1  write        8       385165824        20000000    199.4877    206.9076
 X_POSIX       1  write        9               0        25165824    206.9077    215.8376
 X_POSIX       1   read        0               0        25165824    271.6469    282.8072
 X_POSIX       1   read        1        25165824        40000000    283.0535    334.6953
 X_POSIX       1   read        2        65165824        40000000    334.6954    365.8281
 X_POSIX       1   read        3       105165824        40000000    365.8282    474.5030
 X_POSIX       1   read        4       145165824        40000000    474.5030    527.4480
 X_POSIX       1   read        5       185165824        40000000    527.4480    585.4685
 X_POSIX       1   read        6       225165824        40000000    585.4685    778.8136
 X_POSIX       1   read        7       265165824        40000000    778.8137    810.9557
 X_POSIX       1   read        8       305165824        80000000    810.9558    919.1542
 X_POSIX       1   read        9       385165824        20000000    919.1543    958.2050

# DXT, file_id: 11610747898245933209, file_name: /projects/ovis/tmp/darshan-Part00000002-of-00000512.data
# DXT, rank: 2, hostname: st45
