# darshan log version: 3.21
# compression method: ZLIB
# exe: /projects/ovis/omar/stria_run/HACC-IO/hacc_io 10000000 /projects/ovis/tmp/darshan
# uid: 99066
# jobid: 10764600
# start_time: 1663013579
# start_time_asci: Mon Sep 12 14:12:59 2022
# end_time: 1663014461
# end_time_asci: Mon Sep 12 14:27:41 2022
# nprocs: 512
# run time: 883
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 309 bytes (compressed)
# record table: 34362 bytes (compressed)
# POSIX module: 92684 bytes (compressed), ver=4
# STDIO module: 58 bytes (compressed), ver=2
# DXT_POSIX module: 173602 bytes (compressed), ver=1
# HEATMAP module: 107036 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/home/spwalto	nfs
# mount entry:	/root_ro_nfs	nfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/projects	nfs
# mount entry:	/lustre	lustre
# mount entry:	/beeond	xfs
# mount entry:	/hpcart	nfs
# mount entry:	/home	nfs
# mount entry:	/dev	devtmpfs
# mount entry:	/opt	nfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5857810700580566174, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000512.data
# DXT, rank: 0, hostname: st45
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824        40000000      0.3311      0.3389
 X_POSIX       0  write        1        65165824        40000000      0.3389      0.3466
 X_POSIX       0  write        2       105165824        40000000      0.3467      0.3545
 X_POSIX       0  write        3       145165824        40000000      0.3546      0.3625
 X_POSIX       0  write        4       185165824        40000000      0.3626      0.3706
 X_POSIX       0  write        5       225165824        40000000      0.3708      0.3789
 X_POSIX       0  write        6       265165824        40000000      0.3790      0.3871
 X_POSIX       0  write        7       305165824        80000000      0.3873      0.4040
 X_POSIX       0  write        8       385165824        20000000      0.4041      0.4090
 X_POSIX       0  write        9               0        25165824      0.4091      0.4161
 X_POSIX       0   read        0               0        25165824    419.5926    419.8340
 X_POSIX       0   read        1        25165824        40000000    419.8347    523.9114
 X_POSIX       0   read        2        65165824        40000000    523.9115    551.3768
 X_POSIX       0   read        3       105165824        40000000    551.3769    612.4540
 X_POSIX       0   read        4       145165824        40000000    612.4541    659.7726
 X_POSIX       0   read        5       185165824        40000000    659.7728    760.4902
 X_POSIX       0   read        6       225165824        40000000    760.4903    782.4262
 X_POSIX       0   read        7       265165824        40000000    782.4263    803.4643
 X_POSIX       0   read        8       305165824        80000000    803.4644    869.7073
 X_POSIX       0   read        9       385165824        20000000    869.7074    869.8776

# DXT, file_id: 9859995185289467732, file_name: /projects/ovis/tmp/darshan-Part00000001-of-00000512.data
# DXT, rank: 1, hostname: st45
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0        25165824        40000000     18.7442     24.5380
 X_POSIX       1  write        1        65165824        40000000     24.5381     32.6280
 X_POSIX       1  write        2       105165824        40000000     32.6281     46.6880
 X_POSIX       1  write        3       145165824        40000000     46.6881     64.0180
 X_POSIX       1  write        4       185165824        40000000     64.0181     85.0880
 X_POSIX       1  write        5       225165824        40000000     85.0881    104.6980
 X_POSIX       1  write        6       265165824        40000000    104.6981    122.3280
 X_POSIX       1  write        7       305165824        80000000    122.3281    157.9380
 X_POSIX       1  write        8       385165824        20000000    157.9381    165.5480
 X_POSIX       1  write        9               0        25165824    165.5481    175.0280
 X_POSIX       1   read        0               0        25165824    222.1369    234.1800
 X_POSIX       1   read        1        25165824        40000000    236.6577    255.1584
 X_POSIX       1   read        2        65165824        40000000    255.1585    292.3467
 X_POSIX       1   read        3       105165824        40000000    292.3468    311.4428
 X_POSIX       1   read        4       145165824        40000000    311.4429    359.5537
 X_POSIX       1   read        5       185165824        40000000    359.5538    390.2785
 X_POSIX       1   read        6       225165824        40000000    390.2786    484.3811
 X_POSIX       1   read        7       265165824        40000000    484.3812    583.4017
 X_POSIX       1   read        8       305165824        80000000    583.4018    659.0051
 X_POSIX       1   read        9       385165824        20000000    659.0052    708.6886

# DXT, file_id: 11610747898245933209, file_name: /projects/ovis/tmp/darshan-Part00000002-of-00000512.data
# DXT, rank: 2, hostname: st45
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       2  write        0        25165824        40000000     35.9842     50.8777
 X_POSIX       2  write        1        65165824        40000000     50.8779     69.7577
 X_POSIX       2  write        2       105165824        40000000     69.7578     89.6777
 X_POSIX       2  write        3       145165824        40000000     89.6778    109.0077
 X_POSIX       2  write        4       185165824        40000000    109.0078    127.8577
 X_POSIX       2  write        5       225165824        40000000    127.8578    145.6777
 X_POSIX       2  write        6       265165824        40000000    145.6779    161.7477
 X_POSIX       2  write        7       305165824        80000000    161.7478    192.6877
 X_POSIX       2  write        8       385165824        20000000    192.6879    200.2078
 X_POSIX       2  write        9               0        25165824    200.2079    208.5577
 X_POSIX       2   read        0               0        25165824    259.2116    270.3024
 X_POSIX       2   read        1        25165824        40000000    270.6331    294.8581
 X_POSIX       2   read        2        65165824        40000000    294.8582    307.7519
 X_POSIX       2   read        3       105165824        40000000    307.7520    329.4523
 X_POSIX       2   read        4       145165824        40000000    329.4524    361.4399
 X_POSIX       2   read        5       185165824        40000000    361.4400    388.6806
 X_POSIX       2   read        6       225165824        40000000    388.6807    449.9363
 X_POSIX       2   read        7       265165824        40000000    449.9364    511.8625
 X_POSIX       2   read        8       305165824        80000000    511.8626    559.9092
 X_POSIX       2   read        9       385165824        20000000    559.9094    605.8516

# DXT, file_id: 9268848760574288033, file_name: /projects/ovis/tmp/darshan-Part00000003-of-00000512.data
# DXT, rank: 3, hostname: st45
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       3  write        0        25165824        40000000     47.9905     65.6280
 X_POSIX       3  write        1        65165824        40000000     65.6281     86.7880
 X_POSIX       3  write        2       105165824        40000000     86.7881    106.1580
 X_POSIX       3  write        3       145165824        40000000    106.1581    124.5080
 X_POSIX       3  write        4       185165824        40000000    124.5081    142.5880
 X_POSIX       3  write        5       225165824        40000000    142.5881    159.4380
 X_POSIX       3  write        6       265165824        40000000    159.4381    174.5480
 X_POSIX       3  write        7       305165824        80000000    174.5481    204.5881
 X_POSIX       3  write        8       385165824        20000000    204.5882    211.0380
 X_POSIX       3  write        9               0        25165824    211.0381    217.1780
 X_POSIX       3   read        0               0        25165824    259.2119    270.8772
 X_POSIX       3   read        1        25165824        40000000    271.1185    299.6991
