# darshan log version: 3.21
# compression method: ZLIB
# exe: /projects/ovis/omar/stria_run/HACC-IO/hacc_io 5000000 /projects/ovis/tmp/darshan
# uid: 99066
# jobid: 10764594
# start_time: 1663011482
# start_time_asci: Mon Sep 12 13:38:02 2022
# end_time: 1663011724
# end_time_asci: Mon Sep 12 13:42:04 2022
# nprocs: 512
# run time: 243
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 307 bytes (compressed)
# record table: 34362 bytes (compressed)
# POSIX module: 91881 bytes (compressed), ver=4
# STDIO module: 58 bytes (compressed), ver=2
# DXT_POSIX module: 160487 bytes (compressed), ver=1
# HEATMAP module: 62840 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/home/spwalto	nfs
# mount entry:	/root_ro_nfs	nfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/projects	nfs
# mount entry:	/lustre	lustre
# mount entry:	/beeond	xfs
# mount entry:	/hpcart	nfs
# mount entry:	/home	nfs
# mount entry:	/dev	devtmpfs
# mount entry:	/opt	nfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5857810700580566174, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000512.data
# DXT, rank: 0, hostname: st45
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824        20000000      2.0780      2.0820
 X_POSIX       0  write        1        45165824        20000000      2.0821      2.0860
 X_POSIX       0  write        2        65165824        20000000      2.0860      2.0900
 X_POSIX       0  write        3        85165824        20000000      2.0900      2.0940
 X_POSIX       0  write        4       105165824        20000000      2.0940      2.0979
 X_POSIX       0  write        5       125165824        20000000      2.0980      2.1019
 X_POSIX       0  write        6       145165824        20000000      2.1019      2.1058
 X_POSIX       0  write        7       165165824        40000000      2.1059      2.1138
 X_POSIX       0  write        8       205165824        10000000      2.1138      2.1158
 X_POSIX       0  write        9               0        25165824      2.1158      2.1208
 X_POSIX       0   read        0               0        25165824    190.8141    190.8203
 X_POSIX       0   read        1        25165824        20000000    190.8211    190.8260
 X_POSIX       0   read        2        45165824        20000000    190.8261    190.8311
 X_POSIX       0   read        3        65165824        20000000    190.8311    190.8361
 X_POSIX       0   read        4        85165824        20000000    190.8361    190.8410
 X_POSIX       0   read        5       105165824        20000000    190.8411    190.8460
 X_POSIX       0   read        6       125165824        20000000    190.8460    190.8510
 X_POSIX       0   read        7       145165824        20000000    190.8510    190.8560
 X_POSIX       0   read        8       165165824        40000000    190.8561    190.8658
 X_POSIX       0   read        9       205165824        10000000    190.8659    190.8683

# DXT, file_id: 9859995185289467732, file_name: /projects/ovis/tmp/darshan-Part00000001-of-00000512.data
# DXT, rank: 1, hostname: st45
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0        25165824        20000000     63.6605     64.7915
 X_POSIX       1  write        1        45165824        20000000     64.7916     67.2815
 X_POSIX       1  write        2        65165824        20000000     67.2816     69.4116
 X_POSIX       1  write        3        85165824        20000000     69.4116     70.7316
 X_POSIX       1  write        4       105165824        20000000     70.7316     72.0516
 X_POSIX       1  write        5       125165824        20000000     72.0516     73.0716
 X_POSIX       1  write        6       145165824        20000000     73.0716     74.2615
 X_POSIX       1  write        7       165165824        40000000     74.2616     76.3015
