# darshan log version: 3.21
# compression method: ZLIB
# exe: /projects/ovis/omar/stria_run/HACC-IO/hacc_io 10000000 /projects/ovis/tmp/darshan
# uid: 99066
# jobid: 10764603
# start_time: 1663014493
# start_time_asci: Mon Sep 12 14:28:13 2022
# end_time: 1663016379
# end_time_asci: Mon Sep 12 14:59:39 2022
# nprocs: 512
# run time: 1887
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 308 bytes (compressed)
# record table: 34362 bytes (compressed)
# POSIX module: 93594 bytes (compressed), ver=4
# STDIO module: 59 bytes (compressed), ver=2
# DXT_POSIX module: 173172 bytes (compressed), ver=1
# HEATMAP module: 97657 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/home/spwalto	nfs
# mount entry:	/root_ro_nfs	nfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/projects	nfs
# mount entry:	/lustre	lustre
# mount entry:	/beeond	xfs
# mount entry:	/hpcart	nfs
# mount entry:	/home	nfs
# mount entry:	/dev	devtmpfs
# mount entry:	/opt	nfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5857810700580566174, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000512.data
# DXT, rank: 0, hostname: st45
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824        40000000     56.7947     69.7989
 X_POSIX       0  write        1        65165824        40000000     69.7990     89.0489
 X_POSIX       0  write        2       105165824        40000000     89.0490    118.6589
 X_POSIX       0  write        3       145165824        40000000    118.6590    150.6489
 X_POSIX       0  write        4       185165824        40000000    150.6490    180.3890
 X_POSIX       0  write        5       225165824        40000000    180.3891    205.7289
 X_POSIX       0  write        6       265165824        40000000    205.7290    230.9089
 X_POSIX       0  write        7       305165824        80000000    230.9090    274.8189
 X_POSIX       0  write        8       385165824        20000000    274.8190    282.3989
 X_POSIX       0  write        9               0        25165824    282.3990    292.1790
 X_POSIX       0   read        0               0        25165824    547.0438    547.2872
 X_POSIX       0   read        1        25165824        40000000    547.3914    697.8234
 X_POSIX       0   read        2        65165824        40000000    697.8236   1232.7149
 X_POSIX       0   read        3       105165824        40000000   1232.7150   1563.7545
 X_POSIX       0   read        4       145165824        40000000   1563.7546   1654.8406
 X_POSIX       0   read        5       185165824        40000000   1654.8407   1713.3449
 X_POSIX       0   read        6       225165824        40000000   1713.3450   1794.9009
 X_POSIX       0   read        7       265165824        40000000   1794.9010   1811.5236
 X_POSIX       0   read        8       305165824        80000000   1811.5237   1855.0917
 X_POSIX       0   read        9       385165824        20000000   1855.0918   1855.3539

# DXT, file_id: 9859995185289467732, file_name: /projects/ovis/tmp/darshan-Part00000001-of-00000512.data
# DXT, rank: 1, hostname: st45
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0        25165824        40000000     87.9887    116.8892
 X_POSIX       1  write        1        65165824        40000000    116.8893    147.7492
 X_POSIX       1  write        2       105165824        40000000    147.7493    178.9292
 X_POSIX       1  write        3       145165824        40000000    178.9293    204.0792
 X_POSIX       1  write        4       185165824        40000000    204.0793    229.5092
 X_POSIX       1  write        5       225165824        40000000    229.5093    252.5992
 X_POSIX       1  write        6       265165824        40000000    252.5993    273.7592
 X_POSIX       1  write        7       305165824        80000000    273.7592    303.3392
 X_POSIX       1  write        8       385165824        20000000    303.3393    308.0192
 X_POSIX       1  write        9               0        25165824    308.0193    312.0592
 X_POSIX       1   read        0               0        25165824    374.7260    387.9175
 X_POSIX       1   read        1        25165824        40000000    388.2286    447.8771
 X_POSIX       1   read        2        65165824        40000000    447.8772    468.6672
 X_POSIX       1   read        3       105165824        40000000    468.6673    487.2730
 X_POSIX       1   read        4       145165824        40000000    487.2732    622.6860
 X_POSIX       1   read        5       185165824        40000000    622.6861    700.1976
 X_POSIX       1   read        6       225165824        40000000    700.1977    724.4301
 X_POSIX       1   read        7       265165824        40000000    724.4302   1166.8875
 X_POSIX       1   read        8       305165824        80000000   1166.8876   1699.4304
 X_POSIX       1   read        9       385165824        20000000   1699.4305   1707.2616

# DXT, file_id: 11610747898245933209, file_name: /projects/ovis/tmp/darshan-Part00000002-of-00000512.data
# DXT, rank: 2, hostname: st45
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       2  write        0        25165824        40000000      8.6999      8.7082
 X_POSIX       2  write        1        65165824        40000000      8.7083      8.7161
 X_POSIX       2  write        2       105165824        40000000      8.7162      8.7239
 X_POSIX       2  write        3       145165824        40000000      8.7240      8.7317
 X_POSIX       2  write        4       185165824        40000000      8.7318      9.2293
 X_POSIX       2  write        5       225165824        40000000      9.2294      9.8594
 X_POSIX       2  write        6       265165824        40000000      9.8595     10.3394
 X_POSIX       2  write        7       305165824        80000000     10.3394     11.6295
 X_POSIX       2  write        8       385165824        20000000     11.6296     11.8893
 X_POSIX       2  write        9               0        25165824     11.8894     12.2093
