# darshan log version: 3.21
# compression method: ZLIB
# exe: /projects/ovis/omar/stria_run/HACC-IO/hacc_io 10000000 /projects/ovis/tmp/darshan
# uid: 99066
# jobid: 10764617
# start_time: 1663021179
# start_time_asci: Mon Sep 12 16:19:39 2022
# end_time: 1663021998
# end_time_asci: Mon Sep 12 16:33:18 2022
# nprocs: 512
# run time: 820
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 306 bytes (compressed)
# record table: 34362 bytes (compressed)
# POSIX module: 92720 bytes (compressed), ver=4
# STDIO module: 58 bytes (compressed), ver=2
# DXT_POSIX module: 173595 bytes (compressed), ver=1
# HEATMAP module: 109051 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/home/spwalto	nfs
# mount entry:	/root_ro_nfs	nfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/projects	nfs
# mount entry:	/lustre	lustre
# mount entry:	/beeond	xfs
# mount entry:	/hpcart	nfs
# mount entry:	/home	nfs
# mount entry:	/dev	devtmpfs
# mount entry:	/opt	nfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5857810700580566174, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000512.data
# DXT, rank: 0, hostname: st1
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824        40000000      4.4000      5.4641
 X_POSIX       0  write        1        65165824        40000000      5.4642      9.3441
 X_POSIX       0  write        2       105165824        40000000      9.3442     23.0541
 X_POSIX       0  write        3       145165824        40000000     23.0542     55.1342
 X_POSIX       0  write        4       185165824        40000000     55.1343     84.4441
 X_POSIX       0  write        5       225165824        40000000     84.4442    113.1341
 X_POSIX       0  write        6       265165824        40000000    113.1342    142.2641
 X_POSIX       0  write        7       305165824        80000000    142.2642    195.6341
 X_POSIX       0  write        8       385165824        20000000    195.6342    209.0241
 X_POSIX       0  write        9               0        25165824    209.0242    224.2141
 X_POSIX       0   read        0               0        25165824    340.4054    341.3451
 X_POSIX       0   read        1        25165824        40000000    341.4887    439.7309
 X_POSIX       0   read        2        65165824        40000000    439.7310    534.6612
 X_POSIX       0   read        3       105165824        40000000    534.6612    604.0758
 X_POSIX       0   read        4       145165824        40000000    604.0759    653.5231
 X_POSIX       0   read        5       185165824        40000000    653.5232    661.9104
 X_POSIX       0   read        6       225165824        40000000    661.9105    684.3228
 X_POSIX       0   read        7       265165824        40000000    684.3229    692.9558
 X_POSIX       0   read        8       305165824        80000000    692.9559    727.4531
 X_POSIX       0   read        9       385165824        20000000    727.4532    728.0560

# DXT, file_id: 9859995185289467732, file_name: /projects/ovis/tmp/darshan-Part00000001-of-00000512.data
# DXT, rank: 1, hostname: st1
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0        25165824        40000000      5.3650      8.9543
 X_POSIX       1  write        1        65165824        40000000      8.9544     21.7343
 X_POSIX       1  write        2       105165824        40000000     21.7344     52.6744
 X_POSIX       1  write        3       145165824        40000000     52.6745     82.4143
 X_POSIX       1  write        4       185165824        40000000     82.4144    110.7944
 X_POSIX       1  write        5       225165824        40000000    110.7945    139.8943
 X_POSIX       1  write        6       265165824        40000000    139.8945    167.7844
 X_POSIX       1  write        7       305165824        80000000    167.7845    219.3944
 X_POSIX       1  write        8       385165824        20000000    219.3945    231.6643
 X_POSIX       1  write        9               0        25165824    231.6644    246.7243
 X_POSIX       1   read        0               0        25165824    278.3462    284.9754
 X_POSIX       1   read        1        25165824        40000000    285.3158    301.6928
 X_POSIX       1   read        2        65165824        40000000    301.6929    312.1810
 X_POSIX       1   read        3       105165824        40000000    312.1811    329.0568
 X_POSIX       1   read        4       145165824        40000000    329.0569    355.8553
 X_POSIX       1   read        5       185165824        40000000    355.8554    435.7418
 X_POSIX       1   read        6       225165824        40000000    435.7419    487.7010
 X_POSIX       1   read        7       265165824        40000000    487.7011    568.5929
 X_POSIX       1   read        8       305165824        80000000    568.5930    647.3453
 X_POSIX       1   read        9       385165824        20000000    647.3454    658.2310

# DXT, file_id: 11610747898245933209, file_name: /projects/ovis/tmp/darshan-Part00000002-of-00000512.data
# DXT, rank: 2, hostname: st1
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       2  write        0        25165824        40000000      2.1564      2.7142
 X_POSIX       2  write        1        65165824        40000000      2.7143      3.4743
 X_POSIX       2  write        2       105165824        40000000      3.4744      4.2343
 X_POSIX       2  write        3       145165824        40000000      4.2344      5.1342
 X_POSIX       2  write        4       185165824        40000000      5.1343      8.0842
 X_POSIX       2  write        5       225165824        40000000      8.0842     19.0242
 X_POSIX       2  write        6       265165824        40000000     19.0243     47.2442
 X_POSIX       2  write        7       305165824        80000000     47.2443    106.3042
 X_POSIX       2  write        8       385165824        20000000    106.3043    120.9542
 X_POSIX       2  write        9               0        25165824    120.9543    139.1942
 X_POSIX       2   read        0               0        25165824    329.3597    336.0462
 X_POSIX       2   read        1        25165824        40000000    336.6719    403.0276
 X_POSIX       2   read        2        65165824        40000000    403.0278    483.2625
 X_POSIX       2   read        3       105165824        40000000    483.2626    536.3928
 X_POSIX       2   read        4       145165824        40000000    536.3928    579.4207
 X_POSIX       2   read        5       185165824        40000000    579.4208    588.3110
 X_POSIX       2   read        6       225165824        40000000    588.3111    644.4801
 X_POSIX       2   read        7       265165824        40000000    644.4802    711.5787
 X_POSIX       2   read        8       305165824        80000000    711.5788    784.0206
 X_POSIX       2   read        9       385165824        20000000    784.0207    786.5370

# DXT, file_id: 9268848760574288033, file_name: /projects/ovis/tmp/darshan-Part00000003-of-00000512.data
# DXT, rank: 3, hostname: st1
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       3  write        0        25165824        40000000     12.0008     30.7343
 X_POSIX       3  write        1        65165824        40000000     30.7344     62.3444
 X_POSIX       3  write        2       105165824        40000000     62.3444     91.7443
 X_POSIX       3  write        3       145165824        40000000     91.7444    119.9744
 X_POSIX       3  write        4       185165824        40000000    119.9745    149.0545
 X_POSIX       3  write        5       225165824        40000000    149.0545    176.3744
 X_POSIX       3  write        6       265165824        40000000    176.3744    202.6744
 X_POSIX       3  write        7       305165824        80000000    202.6745    251.0044
 X_POSIX       3  write        8       385165824        20000000    251.0045    262.5243
 X_POSIX       3  write        9               0        25165824    262.5244    274.8143
 X_POSIX       3   read        0               0        25165824    329.3598    336.1403
 X_POSIX       3   read        1        25165824        40000000    336.7717    420.0976
 X_POSIX       3   read        2        65165824        40000000    420.0977    501.7249
 X_POSIX       3   read        3       105165824        40000000    501.7250    592.9188
 X_POSIX       3   read        4       145165824        40000000    592.9189    670.4668
 X_POSIX       3   read        5       185165824        40000000    670.4669    726.1033
 X_POSIX       3   read        6       225165824        40000000    726.1034    749.0739
 X_POSIX       3   read        7       265165824        40000000    749.0740    758.0554
 X_POSIX       3   read        8       305165824        80000000    758.0555    810.6073
 X_POSIX       3   read        9       385165824        20000000    810.6074    811.9281

# DXT, file_id: 7407587191444196197, file_name: /projects/ovis/tmp/darshan-Part00000004-of-00000512.data
# DXT, rank: 4, hostname: st1
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       4  write        0        25165824        40000000     22.3408     53.8040
 X_POSIX       4  write        1        65165824        40000000     53.8041     83.2440
 X_POSIX       4  write        2       105165824        40000000     83.2441    111.9040
 X_POSIX       4  write        3       145165824        40000000    111.9041    140.9540
 X_POSIX       4  write        4       185165824        40000000    140.9541    168.6940
 X_POSIX       4  write        5       225165824        40000000    168.6941    194.5940
 X_POSIX       4  write        6       265165824        40000000    194.5941    220.2740
 X_POSIX       4  write        7       305165824        80000000    220.2741    267.1340
 X_POSIX       4  write        8       385165824        20000000    267.1341    276.0340
 X_POSIX       4  write        9               0        25165824    276.0341    283.3840
 X_POSIX       4   read        0               0        25165824    330.1983    337.3394
 X_POSIX       4   read        1        25165824        40000000    338.2044    422.5142
 X_POSIX       4   read        2        65165824        40000000    422.5143    469.8470
