# darshan log version: 3.21
# compression method: ZLIB
# exe: /projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io 10000000 /projects/ovis/tmp/darshan
# uid: 99066
# jobid: 256586
# start_time: 1658552334
# start_time_asci: Fri Jul 22 22:58:54 2022
# end_time: 1658553617
# end_time_asci: Fri Jul 22 23:20:17 2022
# nprocs: 512
# run time: 1284
# metadata: lib_ver = 3.3.1
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 470 bytes (compressed)
# record table: 147 bytes (compressed)
# POSIX module: 233 bytes (compressed), ver=4
# STDIO module: 79 bytes (compressed), ver=2
# DXT_POSIX module: 168350 bytes (compressed), ver=1
# HEATMAP module: 99252 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_oxqjfs_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/p0	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/sys/fs/cgroup/unified	cgroup2
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/usr/local/lmod	squashfs
# mount entry:	/usr/share/lmod	squashfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/opt/jemalloc	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/opt/python	squashfs
# mount entry:	/opt/nvidia	squashfs
# mount entry:	/projects	dvs
# mount entry:	/lscratch	lustre
# mount entry:	/opt/gcc	squashfs
# mount entry:	/opt/R	squashfs
# mount entry:	/home	dvs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 0, hostname: nid00020
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824        40000000      1.7473      5.5771
 X_POSIX       0  write        1        65165824        40000000      9.1840     12.3546
 X_POSIX       0  write        2       105165824        40000000     86.6131     89.9784
 X_POSIX       0  write        3       145165824        40000000    211.7516    321.9458
 X_POSIX       0  write        4       185165824        40000000    447.3816    450.5835
 X_POSIX       0  write        5       225165824        40000000    454.2961    460.9943
 X_POSIX       0  write        6       265165824        40000000    591.3725    711.2040
 X_POSIX       0  write        7       305165824        80000000    842.6451    848.9642
 X_POSIX       0  write        8       385165824        20000000    850.8751    852.4651
 X_POSIX       0  write        9               0        25165824    941.9730   1017.2720
 X_POSIX       0   read        0               0        25165824   1056.2220   1062.8984
 X_POSIX       0   read        1        25165824        40000000   1062.9337   1084.7253
 X_POSIX       0   read        2        65165824        40000000   1084.7255   1107.4681
 X_POSIX       0   read        3       105165824        40000000   1107.4682   1130.6443
 X_POSIX       0   read        4       145165824        40000000   1130.6444   1153.3313
 X_POSIX       0   read        5       185165824        40000000   1153.3314   1176.6441
 X_POSIX       0   read        6       225165824        40000000   1176.6442   1199.7732
 X_POSIX       0   read        7       265165824        40000000   1199.7733   1222.7780
 X_POSIX       0   read        8       305165824        80000000   1222.7781   1269.5850
 X_POSIX       0   read        9       385165824        20000000   1269.5851   1281.3835

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 1, hostname: nid00020
# DXT, write_count: 9, read_count: 9
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0       405165824        40000000     57.3081     60.9598
 X_POSIX       1  write        1       445165824        40000000    173.1570    176.3963
 X_POSIX       1  write        2       485165824        40000000    288.1741    291.7540
 X_POSIX       1  write        3       525165824        40000000    413.6769    416.9578
 X_POSIX       1  write        4       565165824        40000000    547.8114    550.9378
 X_POSIX       1  write        5       605165824        40000000    673.0873    676.9824
 X_POSIX       1  write        6       645165824        40000000    802.0305    805.7049
 X_POSIX       1  write        7       685165824        80000000    812.8983    819.4073
 X_POSIX       1  write        8       765165824        20000000    920.6982    925.5106
 X_POSIX       1   read        0       405165824        40000000   1062.9352   1086.1713
 X_POSIX       1   read        1       445165824        40000000   1086.1719   1108.4865
 X_POSIX       1   read        2       485165824        40000000   1108.4866   1131.6446
 X_POSIX       1   read        3       525165824        40000000   1131.6447   1154.9355
 X_POSIX       1   read        4       565165824        40000000   1154.9356   1177.5724
 X_POSIX       1   read        5       605165824        40000000   1177.5725   1200.7945
 X_POSIX       1   read        6       645165824        40000000   1200.7945   1224.2624
 X_POSIX       1   read        7       685165824        80000000   1224.2625   1270.6868
 X_POSIX       1   read        8       765165824        20000000   1270.6869   1282.3273

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 2, hostname: nid00020
# DXT, write_count: 9, read_count: 9
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       2  write        0       785165824        40000000     12.3547     15.7583
 X_POSIX       2  write        1       825165824        40000000     89.9784     93.9078
 X_POSIX       2  write        2       865165824        40000000    215.4151    325.2758
 X_POSIX       2  write        3       905165824        40000000    328.5637    331.9398
 X_POSIX       2  write        4       945165824        40000000    335.2294    338.2972
 X_POSIX       2  write        5       985165824        40000000    341.9121    345.0151
 X_POSIX       2  write        6      1025165824        40000000    474.5681    486.8114
 X_POSIX       2  write        7      1065165824        80000000    486.8115    497.3578
 X_POSIX       2  write        8      1145165824        20000000    500.6971    502.2870
 X_POSIX       2   read        0       785165824        40000000   1062.9344   1085.6338
 X_POSIX       2   read        1       825165824        40000000   1085.6344   1108.4922
 X_POSIX       2   read        2       865165824        40000000   1108.4923   1131.6612
 X_POSIX       2   read        3       905165824        40000000   1131.6612   1154.9511
 X_POSIX       2   read        4       945165824        40000000   1154.9511   1177.5751
 X_POSIX       2   read        5       985165824        40000000   1177.5751   1200.7851
 X_POSIX       2   read        6      1025165824        40000000   1200.7852   1224.2887
 X_POSIX       2   read        7      1065165824        80000000   1224.2888   1270.6902
 X_POSIX       2   read        8      1145165824        20000000   1270.6903   1282.3344

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 3, hostname: nid00020
# DXT, write_count: 9, read_count: 9
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       3  write        0      1165165824        40000000     50.8630     53.7766
 X_POSIX       3  write        1      1205165824        40000000    152.2931    155.6959
 X_POSIX       3  write        2      1245165824        40000000    273.7028    276.9485
 X_POSIX       3  write        3      1285165824        40000000    389.5057    392.8547
 X_POSIX       3  write        4      1325165824        40000000    524.8799    529.2278
