job_id,ProducerName,rank,op,particles,filesystem,#module,seg:len,occurences,total_dur
256585,nid00020,0,write,10,nfs,STDIO,12,2,5.8e-5
256585,nid00020,0,write,10,nfs,STDIO,14,2,5.9e-5
256585,nid00020,0,write,10,nfs,STDIO,20,1,4.4e-5
256585,nid00020,0,write,10,nfs,STDIO,24,1,1.2e-5
256585,nid00020,0,write,10,nfs,STDIO,30,1,5.2e-5
256585,nid00020,0,write,10,nfs,STDIO,39,2,2.2e-5
256586,nid00020,0,write,10,nfs,STDIO,0,5,1.78e-4
256586,nid00020,0,write,10,nfs,STDIO,7,6,1.7e-4
256586,nid00020,0,write,10,nfs,STDIO,10,2,5.7e-5
256586,nid00020,0,write,10,nfs,STDIO,12,2,5.7e-5
256586,nid00020,0,write,10,nfs,STDIO,14,2,5.8e-5
256586,nid00020,0,write,10,nfs,STDIO,20,1,4.5e-5
256586,nid00020,0,write,10,nfs,STDIO,24,1,1.1e-5
256586,nid00020,0,write,10,nfs,STDIO,30,1,5e-5
256586,nid00020,0,write,10,nfs,STDIO,39,2,2.4e-5
256587,nid00020,0,write,10,nfs,STDIO,0,5,2.1700000000000002e-4
256587,nid00020,0,write,10,nfs,STDIO,6,1,5.3e-5
256587,nid00020,0,write,10,nfs,STDIO,7,5,1.65e-4
256587,nid00020,0,write,10,nfs,STDIO,10,2,7.2e-5
256587,nid00020,0,write,10,nfs,STDIO,12,2,7.2e-5
256587,nid00020,0,write,10,nfs,STDIO,14,2,7.4e-5
256587,nid00020,0,write,10,nfs,STDIO,20,1,5.3e-5
256587,nid00020,0,write,10,nfs,STDIO,24,1,1.9e-5
256587,nid00020,0,write,10,nfs,STDIO,30,1,5.8e-5
256587,nid00020,0,write,10,nfs,STDIO,39,2,3e-5
