# uid,exe,job_id,rank,ProducerName,file,record_id,module,type,max_byte,switches,flushes,cnt,op,data_set,pt_sel,irreg_hslab,reg_hslab,ndims,npoints,off,len,dur,timestamp,time_job_rank,job_rank_time,job_time_rank
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256258,103,nid00023,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000891,1655601456.653034,07:00:4F:CB:29:4C:9E:AB:D8:41:05:00:02:E9:03:00:00:00:00:00:05:00:67:00:00:00:00:00:00:00,05:00:02:E9:03:00:00:00:00:00:05:00:67:00:00:00:00:00:00:00:07:00:4F:CB:29:4C:9E:AB:D8:41,05:00:02:E9:03:00:00:00:00:00:07:00:4F:CB:29:4C:9E:AB:D8:41:05:00:67:00:00:00:00:00:00:00
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256258,124,nid00023,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000892,1655601456.653035,07:00:53:CB:29:4C:9E:AB:D8:41:05:00:02:E9:03:00:00:00:00:00:05:00:7C:00:00:00:00:00:00:00,05:00:02:E9:03:00:00:00:00:00:05:00:7C:00:00:00:00:00:00:00:07:00:53:CB:29:4C:9E:AB:D8:41,05:00:02:E9:03:00:00:00:00:00:07:00:53:CB:29:4C:9E:AB:D8:41:05:00:7C:00:00:00:00:00:00:00
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256258,121,nid00023,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000892,1655601456.653036,07:00:58:CB:29:4C:9E:AB:D8:41:05:00:02:E9:03:00:00:00:00:00:05:00:79:00:00:00:00:00:00:00,05:00:02:E9:03:00:00:00:00:00:05:00:79:00:00:00:00:00:00:00:07:00:58:CB:29:4C:9E:AB:D8:41,05:00:02:E9:03:00:00:00:00:00:07:00:58:CB:29:4C:9E:AB:D8:41:05:00:79:00:00:00:00:00:00:00
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256258,119,nid00023,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000895,1655601456.653038,07:00:60:CB:29:4C:9E:AB:D8:41:05:00:02:E9:03:00:00:00:00:00:05:00:77:00:00:00:00:00:00:00,05:00:02:E9:03:00:00:00:00:00:05:00:77:00:00:00:00:00:00:00:07:00:60:CB:29:4C:9E:AB:D8:41,05:00:02:E9:03:00:00:00:00:00:07:00:60:CB:29:4C:9E:AB:D8:41:05:00:77:00:00:00:00:00:00:00
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256258,101,nid00023,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000896,1655601456.653040,07:00:68:CB:29:4C:9E:AB:D8:41:05:00:02:E9:03:00:00:00:00:00:05:00:65:00:00:00:00:00:00:00,05:00:02:E9:03:00:00:00:00:00:05:00:65:00:00:00:00:00:00:00:07:00:68:CB:29:4C:9E:AB:D8:41,05:00:02:E9:03:00:00:00:00:00:07:00:68:CB:29:4C:9E:AB:D8:41:05:00:65:00:00:00:00:00:00:00
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256258,105,nid00023,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000898,1655601456.653041,07:00:6C:CB:29:4C:9E:AB:D8:41:05:00:02:E9:03:00:00:00:00:00:05:00:69:00:00:00:00:00:00:00,05:00:02:E9:03:00:00:00:00:00:05:00:69:00:00:00:00:00:00:00:07:00:6C:CB:29:4C:9E:AB:D8:41,05:00:02:E9:03:00:00:00:00:00:07:00:6C:CB:29:4C:9E:AB:D8:41:05:00:69:00:00:00:00:00:00:00
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256258,112,nid00023,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000907,1655601456.653050,07:00:92:CB:29:4C:9E:AB:D8:41:05:00:02:E9:03:00:00:00:00:00:05:00:70:00:00:00:00:00:00:00,05:00:02:E9:03:00:00:00:00:00:05:00:70:00:00:00:00:00:00:00:07:00:92:CB:29:4C:9E:AB:D8:41,05:00:02:E9:03:00:00:00:00:00:07:00:92:CB:29:4C:9E:AB:D8:41:05:00:70:00:00:00:00:00:00:00
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256258,107,nid00023,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000908,1655601456.653051,07:00:96:CB:29:4C:9E:AB:D8:41:05:00:02:E9:03:00:00:00:00:00:05:00:6B:00:00:00:00:00:00:00,05:00:02:E9:03:00:00:00:00:00:05:00:6B:00:00:00:00:00:00:00:07:00:96:CB:29:4C:9E:AB:D8:41,05:00:02:E9:03:00:00:00:00:00:07:00:96:CB:29:4C:9E:AB:D8:41:05:00:6B:00:00:00:00:00:00:00
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256258,118,nid00023,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000910,1655601456.653054,07:00:A3:CB:29:4C:9E:AB:D8:41:05:00:02:E9:03:00:00:00:00:00:05:00:76:00:00:00:00:00:00:00,05:00:02:E9:03:00:00:00:00:00:05:00:76:00:00:00:00:00:00:00:07:00:A3:CB:29:4C:9E:AB:D8:41,05:00:02:E9:03:00:00:00:00:00:07:00:A3:CB:29:4C:9E:AB:D8:41:05:00:76:00:00:00:00:00:00:00
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256258,102,nid00023,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000913,1655601456.653056,07:00:AB:CB:29:4C:9E:AB:D8:41:05:00:02:E9:03:00:00:00:00:00:05:00:66:00:00:00:00:00:00:00,05:00:02:E9:03:00:00:00:00:00:05:00:66:00:00:00:00:00:00:00:07:00:AB:CB:29:4C:9E:AB:D8:41,05:00:02:E9:03:00:00:00:00:00:07:00:AB:CB:29:4C:9E:AB:D8:41:05:00:66:00:00:00:00:00:00:00
