# darshan log version: 3.21
# compression method: ZLIB
# exe: /projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io 5000000 /projects/ovis/tmp/darshan
# uid: 99066
# jobid: 256576
# start_time: 1658544093
# start_time_asci: Fri Jul 22 20:41:33 2022
# end_time: 1658544652
# end_time_asci: Fri Jul 22 20:50:52 2022
# nprocs: 512
# run time: 560
# metadata: lib_ver = 3.3.1
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 467 bytes (compressed)
# record table: 147 bytes (compressed)
# POSIX module: 229 bytes (compressed), ver=4
# STDIO module: 78 bytes (compressed), ver=2
# DXT_POSIX module: 166386 bytes (compressed), ver=1
# HEATMAP module: 113271 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_oxqjfs_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/p0	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/sys/fs/cgroup/unified	cgroup2
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/usr/local/lmod	squashfs
# mount entry:	/usr/share/lmod	squashfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/opt/jemalloc	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/opt/python	squashfs
# mount entry:	/opt/nvidia	squashfs
# mount entry:	/projects	dvs
# mount entry:	/lscratch	lustre
# mount entry:	/opt/gcc	squashfs
# mount entry:	/opt/R	squashfs
# mount entry:	/home	dvs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 0, hostname: nid00020
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824        20000000      3.2200      4.5372
 X_POSIX       0  write        1        45165824        20000000     42.7439     44.0749
 X_POSIX       0  write        2        65165824        20000000     90.4265    137.9587
 X_POSIX       0  write        3        85165824        20000000    139.3875    141.0235
 X_POSIX       0  write        4       105165824        20000000    142.4930    143.9275
 X_POSIX       0  write        5       125165824        20000000    194.5472    195.9578
 X_POSIX       0  write        6       145165824        20000000    248.3386    249.7897
 X_POSIX       0  write        7       165165824        40000000    300.7942    366.3199
 X_POSIX       0  write        8       205165824        10000000    367.0629    367.7710
 X_POSIX       0  write        9               0        25165824    415.4861    417.1716
 X_POSIX       0   read        0               0        25165824    443.7915    447.8444
 X_POSIX       0   read        1        25165824        20000000    447.8794    457.0402
 X_POSIX       0   read        2        45165824        20000000    457.0403    468.1472
 X_POSIX       0   read        3        65165824        20000000    468.1473    479.9421
 X_POSIX       0   read        4        85165824        20000000    479.9422    491.3035
 X_POSIX       0   read        5       105165824        20000000    491.3036    502.7983
 X_POSIX       0   read        6       125165824        20000000    502.7984    515.1954
 X_POSIX       0   read        7       145165824        20000000    515.1955    526.9488
 X_POSIX       0   read        8       165165824        40000000    526.9489    551.0278
 X_POSIX       0   read        9       205165824        10000000    551.0279    556.9128

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 1, hostname: nid00020
# DXT, write_count: 9, read_count: 9
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0       215165824        20000000     38.5022     39.9099
 X_POSIX       1  write        1       235165824        20000000     85.9581    132.2159
 X_POSIX       1  write        2       255165824        20000000    133.7267    135.1400
 X_POSIX       1  write        3       275165824        20000000    187.3152    237.9943
 X_POSIX       1  write        4       295165824        20000000    239.4641    240.8680
 X_POSIX       1  write        5       315165824        20000000    242.2958    245.1864
 X_POSIX       1  write        6       335165824        20000000    294.2216    295.5690
 X_POSIX       1  write        7       355165824        40000000    360.7775    363.5581
 X_POSIX       1  write        8       395165824        10000000    366.3200    367.0629
 X_POSIX       1   read        0       215165824        20000000    447.8807    458.6699
 X_POSIX       1   read        1       235165824        20000000    458.6706    469.8060
 X_POSIX       1   read        2       255165824        20000000    469.8061    481.6252
 X_POSIX       1   read        3       275165824        20000000    481.6253    492.9907
 X_POSIX       1   read        4       295165824        20000000    492.9908    504.4930
 X_POSIX       1   read        5       315165824        20000000    504.4931    516.9195
 X_POSIX       1   read        6       335165824        20000000    516.9195    528.6862
