# darshan log version: 3.21
# compression method: ZLIB
# exe: /projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io 5000000 /projects/ovis/tmp/darshan
# uid: 99066
# jobid: 256577
# start_time: 1658544693
# start_time_asci: Fri Jul 22 20:51:33 2022
# end_time: 1658545253
# end_time_asci: Fri Jul 22 21:00:53 2022
# nprocs: 512
# run time: 561
# metadata: lib_ver = 3.3.1
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 464 bytes (compressed)
# record table: 147 bytes (compressed)
# POSIX module: 230 bytes (compressed), ver=4
# STDIO module: 79 bytes (compressed), ver=2
# DXT_POSIX module: 166358 bytes (compressed), ver=1
# HEATMAP module: 112874 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_oxqjfs_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/p0	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/sys/fs/cgroup/unified	cgroup2
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/usr/local/lmod	squashfs
# mount entry:	/usr/share/lmod	squashfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/opt/jemalloc	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/opt/python	squashfs
# mount entry:	/opt/nvidia	squashfs
# mount entry:	/projects	dvs
# mount entry:	/lscratch	lustre
# mount entry:	/opt/gcc	squashfs
# mount entry:	/opt/R	squashfs
# mount entry:	/home	dvs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 0, hostname: nid00020
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824        20000000      1.6622      3.0738
 X_POSIX       0  write        1        45165824        20000000     32.9443     35.8759
 X_POSIX       0  write        2        65165824        20000000     83.8496    134.5711
 X_POSIX       0  write        3        85165824        20000000    187.6242    189.0406
 X_POSIX       0  write        4       105165824        20000000    244.4493    245.8363
 X_POSIX       0  write        5       125165824        20000000    299.4955    300.9325
 X_POSIX       0  write        6       145165824        20000000    300.9326    305.1628
 X_POSIX       0  write        7       165165824        40000000    306.6056    309.4346
 X_POSIX       0  write        8       205165824        10000000    310.8468    311.7801
 X_POSIX       0  write        9               0        25165824    314.6129    316.3748
 X_POSIX       0   read        0               0        25165824    443.1399    447.2259
 X_POSIX       0   read        1        25165824        20000000    447.2584    457.1577
 X_POSIX       0   read        2        45165824        20000000    457.1578    468.3920
 X_POSIX       0   read        3        65165824        20000000    468.3921    480.2381
 X_POSIX       0   read        4        85165824        20000000    480.2383    491.5072
 X_POSIX       0   read        5       105165824        20000000    491.5073    502.9563
 X_POSIX       0   read        6       125165824        20000000    502.9564    515.3986
 X_POSIX       0   read        7       145165824        20000000    515.3987    527.1817
 X_POSIX       0   read        8       165165824        40000000    527.1818    551.8566
 X_POSIX       0   read        9       205165824        10000000    551.8566    557.8965

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 1, hostname: nid00020
# DXT, write_count: 9, read_count: 9
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0       215165824        20000000     12.0093     13.4455
 X_POSIX       1  write        1       235165824        20000000     53.3201     55.0236
 X_POSIX       1  write        2       255165824        20000000     99.6408    101.0112
 X_POSIX       1  write        3       275165824        20000000    102.4163    103.8089
 X_POSIX       1  write        4       295165824        20000000    153.0196    155.9515
 X_POSIX       1  write        5       315165824        20000000    157.3535    158.7788
 X_POSIX       1  write        6       335165824        20000000    209.3968    210.8705
 X_POSIX       1  write        7       355165824        40000000    212.3895    215.3438
 X_POSIX       1  write        8       395165824        10000000    270.4043    271.8148
 X_POSIX       1   read        0       215165824        20000000    447.2597    458.3896
 X_POSIX       1   read        1       235165824        20000000    458.3903    469.6916
 X_POSIX       1   read        2       255165824        20000000    469.6916    481.5118
 X_POSIX       1   read        3       275165824        20000000    481.5119    492.7835
 X_POSIX       1   read        4       295165824        20000000    492.7836    504.2615
 X_POSIX       1   read        5       315165824        20000000    504.2616    516.7231
 X_POSIX       1   read        6       335165824        20000000    516.7231    528.5439
